"","election","province","electoral_district_circonscripti","candidate_candidat","media_mentions","quality","donations","amount","transfers","spending","limit","excluded","readsecond","order_of_precedence","bill__1_","passed","votes_obtained_votes_obtenus","current_vote","previous_vote","majority_majoritÈ","majority_percentage_pourcentage_","winner","liberal_","con","ndp","bq","other","gender","female","province0","prov","years_served","parliaments","former_minister","switcher","exminister","partyswitcher","area","pop_per_km2","population_2006","_65_or_over","average_people_in_households","first_language_spoken_english","first_language_spoken_french","english_and_french","neither_english_nor_french","citizens","non_citizens","non_immigrants","immigrants","unemployment_rate","self_employed","no_high_school","high_school","high_school0","high_school1","doctorate","median_income","average_income","median_family_income","average_family_income","date_of_intro","before_ind","__","after_ind","__0","before_corp","__1","after_corp","__2","before_union","__3","after_union","__4","before_transfer","__5","after_transfer","__6","dist1","match","news_treated_3_months_before","news_treated_day_of","news_treated_10_days_after","news_treated_3_months_after","news_control_3_months_before","news_control_day_of","news_control_10_days_after","news_control_3_months_after","match_donations_3_months_before_","match_donations_3_months_before0","match_donations_3_months_after_a","match_donations_3_months_after_n","gov","govpassed","govorder","motion","y2006","introbill","intromotion","place_on_paper","check","senate","test","newplace","id","optout","p2p","govp2p","transfersshare","donationsshare","share"
"1",2008,"ON","York South--Weston","Alan  Tonks",44,0,18,5775,38000,48748.26953125,80783.19,0,0,0,0,0,16004,46.5,57.060001373291,NA,NA,1,1,0,0,0,0,"Male",0,"ON","8",8,3,"No","No",0,0,26,4402.23095703125,114458,13.0659284591675,2.59999990463257,92.9008712768555,0.739859938621521,0.960056364536285,5.39921617507935,84.1194381713867,15.8805656433105,44.8138008117676,55.1861991882324,8.60000038146973,4.06262540817261,12.7557706832886,14.6866102218628,5.35130786895752,1.58136606216431,0.187841832637787,21504,27094,52459,62218,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4744567871094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,149,0,0,"Alan  Tonks",149,1,0,0,0,0.470394892798861,0.470394892798861,0.940789785597722
"2",2006,"ON","York South--Weston/York-Sud--Weston","Alan Tonks ** Liberal/LibÈral",60,0,34,8607,27830.75,39835.1484375,74365.65,0,0,0,0,0,22871,57.060001373291,59.8300018310547,14346,35.7999992370605,1,1,0,0,0,0,"Male",0,"ON","8",6,2,"No","No",0,0,26,4402.23095703125,114458,13.0659284591675,2.59999990463257,92.9008712768555,0.739859938621521,0.960056364536285,5.39921617507935,84.1194381713867,15.8805656433105,44.8138008117676,55.1861991882324,8.60000038146973,4.06262540817261,12.7557706832886,14.6866102218628,5.35130786895752,1.58136606216431,0.187841832637787,21504,27094,52459,62218,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4296951293945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,88,0,0,"Alan Tonks ** Liberal/LibÈral",172,1,0,0,0,0.374242005549605,0.374242005549605,0.74848401109921
"3",2008,"ON","Mississauga East--Cooksville","Albina  Guarnieri",66,1,1,446.9,55594.94,45483.75,87932.53,0,0,0,0,0,20371,50.2000007629395,51.6500015258789,NA,NA,1,1,0,0,0,0,"Female",1,"ON","8",20,6,"Yes","No",1,0,29,4366.96533203125,126642,12.0536632537842,2.79999995231628,92.8282623291016,1.21313035488129,1.15762770175934,4.80098342895508,79.8533172607422,20.1466808319092,37.7573280334473,62.2426719665527,7.80000019073486,4.95491218566895,6.91713666915894,12.5866613388062,11.6233158111572,4.34295082092285,0.438243240118027,24213,30383,62124,71098,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8506984710693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,246,0,0,"Albina  Guarnieri",246,2,0,0,0,0.632245427261106,0.632245427261106,1
"4",2006,"NS","Halifax","Alexa McDonough ** N.D.P./N.P.D.",330,0,162,32483.88,61414.94,67353.609375,77542.29,0,1,1,1,0,23420,46.8800010681152,41.5499992370605,7983,16,1,0,0,1,0,0,"Female",1,"NS","6",9,3,"No","No",0,0,231,387.220764160156,89448,12.8342723846436,2.09999990463257,96.8880004882812,2.33684802055359,0.381875187158585,0.393274426460266,95.474235534668,4.52576398849487,89.7453765869141,10.2546253204346,7.19999980926514,5.66250801086426,5.56748056411743,10.1958675384521,13.5330028533936,5.53953123092651,1.48130762577057,23638,34188,61143,79849,"02/25/2005",1606,16,1582.72998046875,15,0,0,0,0,0,0,0,0,1000,1,7778.64990234375,1,26.8003101348877,NA,59,13,6,75,51,0,6,85,2013,8,508,6,0,0,0,0,1,1,1,21,21,0,"Alexa McDonough ** N.D.P./N.P.D.",21,3,0,1,0,0.792018652015565,0.792018652015565,1
"5",2008,"QC","Richmond--Arthabaska","Andre  Bellavance",1,0,83,14695,67038.14,77254.328125,85600.46,0,1,1,1,0,23913,46,47.8899993896484,NA,NA,1,0,0,0,1,0,"Male",0,"QC","10",4,2,"No","No",0,0,3563,28.0987930297852,100116,13.2596187591553,2.29999995231628,3.30742263793945,96.458869934082,0.172737896442413,0.0609663166105747,99.3242874145508,0.675710022449493,98.1852416992188,1.81476211547852,5.69999980926514,6.78213262557983,13.1247749328613,11.3568258285522,4.37991952896118,0.804067254066467,0.0998841375112534,22494,27682,52743,61002,"05/02/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4565773010254,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,NA,101,101,0,"Andre  Bellavance",101,4,0,1,0,0.783151632596367,0.783151632596367,1
"6",2006,"QC","Richmond--Arthabaska","Andre Bellavance ** Bloc QuÈbÈcois/Bloc QuÈbÈcois",9,0,186,14373.69,19939.23,45705.94140625,79322.07,0,0,0,0,0,24466,47.8899993896484,55.5499992370605,8001,15.6999998092651,1,0,0,0,1,0,"Male",0,"QC","10",2,1,"No","No",0,0,3563,28.0987930297852,100116,13.2596187591553,2.29999995231628,3.30742263793945,96.458869934082,0.172737896442413,0.0609663166105747,99.3242874145508,0.675710022449493,98.1852416992188,1.81476211547852,5.69999980926514,6.78213262557983,13.1247749328613,11.3568258285522,4.37991952896118,0.804067254066467,0.0998841375112534,22494,27682,52743,61002,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.866138458252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,88,0,0,"Andre Bellavance ** Bloc QuÈbÈcois/Bloc QuÈbÈcois",93,4,0,0,0,0.251370520209571,0.251370520209571,0.502741040419142
"7",2008,"ON","Kitchener--Waterloo","Andrew  Telegdi",113,0,8,2750,78146.93,71442.6796875,95412.29,0,1,1,0,1,21798,36,46.8499984741211,NA,NA,0,1,0,0,0,0,"Male",0,"ON","8",15,5,"No","No",0,0,91,1392.76928710938,126742,10.4621992111206,2.59999990463257,97.1011047363281,1.20324039459229,0.544039368629456,1.15161621570587,92.9433746337891,7.05662775039673,76.0802688598633,23.9197273254395,5.5,5.62165641784668,5.23898935317993,11.984977722168,11.4760694503784,4.45392990112305,1.57011878490448,30596,42506,82985,101665,"01/29/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9134044647217,NA,13,0,2,33,7,1,0,14,NA,NA,NA,NA,0,0,0,1,0,1,NA,69,69,0,"Andrew  Telegdi",69,5,0,1,0,0.819044695395111,0.819044695395111,1
"8",2006,"SK","Regina--Qu'Appelle","Andrew Scheer ** Conservative/Conservateur",75,1,149,32740,37500,67733.6015625,73411.33,0,0,0,0,0,12753,41.2099990844727,35.7599983215332,2712,8.80000019073486,1,0,1,0,0,0,"Male",0,"SK","11",2,1,"No","No",0,0,12750,5.23121547698975,66698,13.7185525894165,2.5,99.0785903930664,0.670118808746338,0.0609198920428753,0.190374657511711,98.5989456176758,1.40105080604553,95.4465713500977,4.55342864990234,5.80000019073486,6.99421262741089,11.267204284668,15.8925304412842,4.25799894332886,0.599718153476715,0.112447150051594,22539,28146,53262,62134,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5907325744629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,88,0,0,"Andrew Scheer ** Conservative/Conservateur",155,6,0,0,0,0.510820332501809,0.510820332501809,1
"9",2006,"ON","Kitchener--Waterloo","Andrew Telegdi ** Liberal/LibÈral",52,0,78,35574.49,50800,73501.859375,86376.76,0,0,0,0,0,31136,46.8499984741211,48.1199989318848,12319,18.5,1,1,0,0,0,0,"Male",0,"ON","8",13,4,"No","No",0,0,91,1392.76928710938,126742,10.4621992111206,2.59999990463257,97.1011047363281,1.20324039459229,0.544039368629456,1.15161621570587,92.9433746337891,7.05662775039673,76.0802688598633,23.9197273254395,5.5,5.62165641784668,5.23898935317993,11.984977722168,11.4760694503784,4.45392990112305,1.57011878490448,30596,42506,82985,101665,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2996616363525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,88,0,0,"Andrew Telegdi ** Liberal/LibÈral",133,5,0,0,0,0.588121156662973,0.588121156662973,1
"10",2006,"NB","Tobique--Mactaquac","Andy Savoy ** Liberal/LibÈral",268,0,4,2734.76,73000,70900.5390625,76462.05,0,1,1,0,1,15558,42.8600006103516,48.2299995422363,NA,35.9000015258789,0,1,0,0,0,0,"Male",0,"NB","4",2,1,"No","No",0,0,15952,4.28485441207886,68352,13.5402040481567,2.5,82.5127334594727,17.3027229309082,0.169779285788536,0.0147634157910943,98.3981704711914,1.60183072090149,96.5221252441406,3.47787475585938,9.5,5.3619499206543,12.4648876190186,15.7127809524536,4.87184000015259,1.06800091266632,0.117041200399399,20842,25991,50029,58470,"12/06/2004",0,0,0,0,0,0,1000,1,0,0,0,0,0,0,6600,1,46.1265869140625,NA,44,0,4,62,5,0,0,2,1000,1,0,0,1,1,1,1,1,NA,1,5,5,0,"Andy Savoy ** Liberal/LibÈral",5,7,0,1,1,0.954721982996794,0.954721982996794,1
